上,じょう,Above
下,か,Below
大,たい,Big
工,こう,Construction
八,はち,Eight
入,にゅう,Enter
山,さん,Mountain
口,こう,Mouth
九,く,Nine
一,いち,One
人,にん,Person
力,りょく,Power
川,かわ,River
七,しち,Seven
十,じゅう,Ten
三,さん,Three
二,に,Two
女,じょ,Woman
又,また,Again
玉,たま,Ball
本,ほん,Book
子,し,Child
丸,まる,Circle
正,せい,Correct
犬,いぬ,Dog
夕,ゆう,Evening
出,しゅつ,Exit
目,め,Eye
了,りょう,Finish
火,か,Fire
五,ご,Five
四,よん,Four
才,さい,Genius
手,て,Hand
天,てん,Heaven
王,おう,King
左,ひだり,Left
中,ちゅう,Middle
月,げつ,Moon
々,のま,Repeater
田,た,Rice Paddy
右,みぎ,Right
六,ろく,Six
小,しょう,Small
土,ど,Soil
立,りつ,Stand
石,いし,Stone
丁,ちょう,Street
日,にち,Sun
刀,とう,Sword
千,せん,Thousand
木,もく,Tree
水,すい,Water
白,はく,White
文,ぶん,Writing
円,えん,Yen
矢,や,Arrow
市,し,City
牛,ぎゅう,Cow
切,せつ,Cut
方,かた,Direction
戸,と,Door
太,たい,Fat
父,ちち,Father
少,しょう,Few
友,ゆう,Friend
毛,もう,Fur
半,はん,Half
心,しん,Heart
内,ない,Inside
生,せい,Life
久,ひさ,Long Time
台,だい,Machine
母,はは,Mother
午,ご,Noon
北,ほく,North
今,こん,Now
古,こ,Old
兄,あに,Older Brother
元,げん,Origin
外,がい,Outside
分,ぶん,Part
公,こう,Public
引,ひ,Pull
止,し,Stop
用,よう,Task
万,まん,Ten Thousand
広,ひろ,Wide
冬,ふゆ,Winter
竹,たけ,Bamboo
車,しゃ,Car
央,おう,Center
写,しゃ,Copy
仕,し,Doing
耳,みみ,Ear
早,そう,Early
気,き,Energy
平,へい,Flat
花,はな,Flower
足,そく,Foot
世,せ,Generation
打,う,Hit
百,ひゃく,Hundred
氷,こおり,Ice
虫,むし,Insect
字,じ,Letter
男,だん,Man
主,しゅ,Master
名,めい,Name
不,ふ,Not
号,ごう,Number
他,た,Other
去,きょ,Past
皿,さら,Plate
先,せん,Previous
赤,あか,Red
休,きゅう,Rest
申,もう,Say Humbly
見,み,See
貝,かい,Shellfish
皮,かわ,Skin
代,だい,Substitute
礼,れい,Thanks
糸,いと,Thread
町,ちょう,Town
村,むら,Village
年,ねん,Year
角,かく,Angle
青,せい,Blue
体,たい,Body
色,いろ,Color
来,らい,Come
社,しゃ,Company
図,ず,Diagram
毎,まい,Every
羽,はね,Feather
林,はやし,Forest
行,こう,Go
金,きん,Gold
草,くさ,Grass
里,さと,Home Village
作,さく,Make
多,た,Many
肉,にく,Meat
会,かい,Meet
交,こう,Mix
近,きん,Near
池,いけ,Pond
雨,あめ,Rain
米,べい,Rice
当,とう,Right
走,そう,Run
同,どう,Same
言,げん,Say
自,じ,Self
売,う,Sell
形,けい,Shape
空,くう,Sky
音,おん,Sound
学,がく,Study
光,こう,Sunlight
考,かんが,Think
回,かい,Times
谷,たに,Valley
声,こえ,Voice
西,せい,West
何,なに,What
麦,むぎ,Wheat
弟,だい,Younger Br...
全,ぜん,All
後,ご,Behind
血,けつ,Blood
両,りょう,Both
明,めい,Bright
京,きょう,Capital
化,か,Change
国,こく,Country
死,し,Death
亡,ぼう,Deceased
画,が,Drawing
地,ち,Earth
